label,data,lowercase,mapping_dict,remove_non_alphabet,no_whitespace,no_punctuation,standardized_word,stopwords,tokenized
sadness,"Asa saredih ningali jero dompet mun geus tanggal"" sakieu teh. Meni eweuh batur na isi na teh","asa saredih ningali jero dompet mun geus tanggal"" sakieu teh. meni eweuh batur na isi na teh","asa saredih ningali jero dompet mun geus tahenteul"" sakieu teh. meni eweuh batur na isi na teh",asa saredih ningali jero dompet mun geus tahenteul  sakieu teh  meni eweuh batur na isi na teh,asa saredih ningali jero dompet mun geus tahenteul sakieu teh meni eweuh batur na isi na teh,asa saredih ningali jero dompet mun geus tahenteul sakieu teh meni eweuh batur na isi na teh,asa saredih ningali jero dompet mun geus tahenteul sakieu teh meni eweuh batur na isi na teh,saredih ningali jero dompet tahenteul sakieu eweuh batur isi,"['saredih', 'ningali', 'jero', 'dompet', 'tahenteul', 'sakieu', 'eweuh', 'batur', 'isi']"
sadness,"Duh Gusti, cai soca teu tiasa ditahan, nalika suling gugupai kana manah, nyeredet kana hate. Hoyong uih ka pilemburan, malikeun waktos janten budak deui. Guyang di balong, ngurek belut di sawah, teterengkelan kana tangkal tatangga... Gusti, waas ku sulingna...","duh gusti, cai soca teu tiasa ditahan, nalika suling gugupai kana manah, nyeredet kana hate. hoyong uih ka pilemburan, malikeun waktos janten budak deui. guyang di balong, ngurek belut di sawah, teterengkelan kana tangkal tatangga... gusti, waas ku sulingna...","duh gusti, cai soca teu tiasa ditahan, nalika suling gugupai kana manah, nyeredet kana hate. hoyong uih ka pilemburan, malikeun waktos janten budak deui. guyang di balong, ngurek belut di sawah, teterengkelan kana tangkal tatahenteu... gusti, was ku sulingna...",duh gusti  cai soca teu tiasa ditahan  nalika suling gugupai kana manah  nyeredet kana hate  hoyong uih ka pilemburan  malikeun waktos janten budak deui  guyang di balong  ngurek belut di sawah  teterengkelan kana tangkal tatahenteu    gusti  was ku sulingna   ,duh gusti cai soca teu tiasa ditahan nalika suling gugupai kana manah nyeredet kana hate hoyong uih ka pilemburan malikeun waktos janten budak deui guyang di balong ngurek belut di sawah teterengkelan kana tangkal tatahenteu gusti was ku sulingna ,duh gusti cai soca teu tiasa ditahan nalika suling gugupai kana manah nyeredet kana hate hoyong uih ka pilemburan malikeun waktos janten budak deui guyang di balong ngurek belut di sawah teterengkelan kana tangkal tatahenteu gusti was ku sulingna ,duh gusti cai soca teu tiasa ditahan nalika suling gugupai kana manah nyeredet kana hate hoyong uih ka pilemburan malikeun waktos janten budak deui guyang di balong ngurek belut di sawah teterengkelan kana tangkal tatahenteu gusti was ku sulingna,cai soca teu tiasa ditahan nalika suling gugupai kana manah nyeredet kana hate hoyong uih pilemburan malikeun waktos janten budak guyang balong ngurek belut sawah teterengkelan kana tangkal tatahenteu sulingna,"['cai', 'soca', 'teu', 'tiasa', 'ditahan', 'nalika', 'suling', 'gugupai', 'kana', 'manah', 'nyeredet', 'kana', 'hate', 'hoyong', 'uih', 'pilemburan', 'malikeun', 'waktos', 'janten', 'budak', 'guyang', 'balong', 'ngurek', 'belut', 'sawah', 'teterengkelan', 'kana', 'tangkal', 'tatahenteu', 'sulingna']"
anger,"""Hidup aing, kumaha aing"" Kalo hidup maneh nyinggung hidup aing, sok weh jadi urusan aing.","""hidup aing, kumaha aing"" kalo hidup maneh nyinggung hidup aing, sok weh jadi urusan aing.","""hidup aing, kumaha aing"" kalo hidup maneh nyinggung hidup aing, sok weh jadi urusan aing.", hidup aing  kumaha aing  kalo hidup maneh nyinggung hidup aing  sok weh jadi urusan aing , hidup aing kumaha aing kalo hidup maneh nyinggung hidup aing sok weh jadi urusan aing , hidup aing kumaha aing kalo hidup maneh nyinggung hidup aing sok weh jadi urusan aing ,hidup aing kumaha aing kalo hidup maneh nyinggung hidup aing sok weh jadi urusan aing,hidup kalo hidup maneh hidup jadi urusan,"['hidup', 'kalo', 'hidup', 'maneh', 'hidup', 'jadi', 'urusan']"
anger,Ijid anjing kajelema anu sok panjang lengeun teh!,ijid anjing kajelema anu sok panjang lengeun teh!,ijid anjing kajelema anu sok panjang lengeun teh!,ijid anjing kajelema anu sok panjang lengeun teh ,ijid anjing kajelema anu sok panjang lengeun teh ,ijid anjing kajelema anu sok panjang lengeun teh ,ijid anjing kajelema anu sok panjang lengeun teh,ijid kajelema panjang lengeun,"['ijid', 'kajelema', 'panjang', 'lengeun']"
fear,Muriding bulu punduk ningali BMX kejurnas di kampung ladang,muriding bulu punduk ningali bmx kejurnas di kampung ladang,muriding bulu punduk ningali bmx kejurnas di kampung ladang,muriding bulu punduk ningali bmx kejurnas di kampung ladang,muriding bulu punduk ningali bmx kejurnas di kampung ladang,muriding bulu punduk ningali bmx kejurnas di kampung ladang,muriding bulu punduk ningali bmx kejurnas di kampung ladang,muriding bulu punduk ningali bmx kejurnas kampung ladang,"['muriding', 'bulu', 'punduk', 'ningali', 'bmx', 'kejurnas', 'kampung', 'ladang']"
sadness,"Omat cing nyaah ka kolot gaes, ulah nepi kolot urng aya di panti sosial/jompo..kudu inget bela na nu jadi kolot ka anak..","omat cing nyaah ka kolot gaes, ulah nepi kolot urng aya di panti sosial/jompo..kudu inget bela na nu jadi kolot ka anak..","omat cing nyah ka kolot gaes, ulah nepi kolot urng aya di panti sosial/jompo..kudu inget bela na nu jadi kolot ka anak..",omat cing nyah ka kolot gaes  ulah nepi kolot urng aya di panti sosial jompo  kudu inget bela na nu jadi kolot ka anak  ,omat cing nyah ka kolot gaes ulah nepi kolot urng aya di panti sosial jompo kudu inget bela na nu jadi kolot ka anak ,omat cing nyah ka kolot gaes ulah nepi kolot urng aya di panti sosial jompo kudu inget bela na nu jadi kolot ka anak ,omat cing nyah ka kolot gaes ulah nepi ka kolot urng aya di panti sosial jompo kudu inget bela na nu boga jadi kolot ka anak,omat cing kolot gaes ulah kolot urng aya panti sosial jompo kudu inget bela boga jadi kolot anak,"['omat', 'cing', 'kolot', 'gaes', 'ulah', 'kolot', 'urng', 'aya', 'panti', 'sosial', 'jompo', 'kudu', 'inget', 'bela', 'boga', 'jadi', 'kolot', 'anak']"
fear,tadi di jln mblnya ngerem sendiri ivaaaa serem deh :( ngadegdeg,tadi di jln mblnya ngerem sendiri ivaaaa serem deh :( ngadegdeg,tadi di jln mblnya ngerem sendiri iva serem deh :( ngadegdeg,tadi di jln mblnya ngerem sendiri iva serem deh    ngadegdeg,tadi di jln mblnya ngerem sendiri iva serem deh ngadegdeg,tadi di jln mblnya ngerem sendiri iva serem deh ngadegdeg,tadi di jln mblnya ngerem sendiri iva serem deh ngadegdeg,jln mblnya ngerem serem deh ngadegdeg,"['jln', 'mblnya', 'ngerem', 'serem', 'deh', 'ngadegdeg']"
anger,"tong melak cangkeng wae maneh teh, teu sopan","tong melak cangkeng wae maneh teh, teu sopan","tong melak cangkeng wae maneh teh, teu sopan",tong melak cangkeng wae maneh teh  teu sopan,tong melak cangkeng wae maneh teh teu sopan,tong melak cangkeng wae maneh teh teu sopan,tong boro melak cangkeng wae maneh teh teu sopan,tong boro melak cangkeng maneh teu sopan,"['tong', 'boro', 'melak', 'cangkeng', 'maneh', 'teu', 'sopan']"
anger,Mun indung aing nu di smprot ktu. Rek bupati rek sha ge di tengel ku aing mah. Asa culangung ka kolot..,mun indung aing nu di smprot ktu. rek bupati rek sha ge di tengel ku aing mah. asa culangung ka kolot..,mun indung aing nu di smprot ktu. rek bupati rek sha ge di tengel ku aing mah. asa culangung ka kolot..,mun indung aing nu di smprot ktu  rek bupati rek sha ge di tengel ku aing mah  asa culangung ka kolot  ,mun indung aing nu di smprot ktu rek bupati rek sha ge di tengel ku aing mah asa culangung ka kolot ,mun indung aing nu di smprot ktu rek bupati rek sha ge di tengel ku aing mah asa culangung ka kolot ,mun indung aing nu boga di smprot ktu rek bupati rek sha ge di tengel ku aing mah asa culangung ka kolot,indung boga smprot ktu bupati sha tengel culangung kolot,"['indung', 'boga', 'smprot', 'ktu', 'bupati', 'sha', 'tengel', 'culangung', 'kolot']"
fear,SEREM NINGAL NU KA GILES DI JALAN AMPE DARAH MUNCRAT GTTU,serem ningal nu ka giles di jalan ampe darah muncrat gttu,serem ningal nu ka giles di jalan ampe darah muncrat gitu,serem ningal nu ka giles di jalan ampe darah muncrat gitu,serem ningal nu ka giles di jalan ampe darah muncrat gitu,serem ningal nu ka giles di jalan ampe darah muncrat gitu,serem ningal nu boga ka giles di jalan ampe darah muncrat gitu,serem ningal boga giles jalan ampe darah muncrat,"['serem', 'ningal', 'boga', 'giles', 'jalan', 'ampe', 'darah', 'muncrat']"
joy,alhamdulillah di Masjid Jami cibabat Cimahi tiasa jumatan setelah berkeliling yg lain pd tutup. waas pisan kang,alhamdulillah di masjid jami cibabat cimahi tiasa jumatan setelah berkeliling yg lain pd tutup. waas pisan kang,alhamdulilahh di masjid jami cibabat cimahi tiasa jumatan setelah berkeliling yg lain pd tutup. was pisan kang,alhamdulilahh di masjid jami cibabat cimahi tiasa jumatan setelah berkeliling yg lain pd tutup  was pisan kang,alhamdulilahh di masjid jami cibabat cimahi tiasa jumatan setelah berkeliling yg lain pd tutup was pisan kang,alhamdulilahh di masjid jami cibabat cimahi tiasa jumatan setelah berkeliling yg lain pd tutup was pisan kang,alhamdulilahh di masjid jami cibabat cimahi tiasa jumatan setelah berkeliling yg lain pd tutup was pisan kang,alhamdulilahh masjid jami cibabat cimahi tiasa jumatan berkeliling yg pd tutup,"['alhamdulilahh', 'masjid', 'jami', 'cibabat', 'cimahi', 'tiasa', 'jumatan', 'berkeliling', 'yg', 'pd', 'tutup']"
fear,"Bae bae, sieun kumaha sorangan te didieuk diem bae","bae bae, sieun kumaha sorangan te didieuk diem bae","bae bae, sieun kumaha sorangan te didieuk diem bae",bae bae  sieun kumaha sorangan te didieuk diem bae,bae bae sieun kumaha sorangan te didieuk diem bae,bae bae sieun kumaha sorangan te didieuk diem bae,bae bae sieun kumaha sorangan te didieuk diem bae,sieun sorangan te didieuk diem,"['sieun', 'sorangan', 'te', 'didieuk', 'diem']"
joy,"Nempo kieu hungkul ge ngeunah seuri, membuktikan sebuah kebodohan mereka","nempo kieu hungkul ge ngeunah seuri, membuktikan sebuah kebodohan mereka","nempo kieu hungkul ge ngeunah seuri, membuktikan sebuah kebodohan mereka",nempo kieu hungkul ge ngeunah seuri  membuktikan sebuah kebodohan mereka,nempo kieu hungkul ge ngeunah seuri membuktikan sebuah kebodohan mereka,nempo kieu hungkul ge ngeunah seuri membuktikan sebuah kebodohan mereka,nempo kieu hungkul ge ngeunah seuri membuktikan sebuah kebodohan mereka,nempo hungkul ngeunah seuri membuktikan kebodohan,"['nempo', 'hungkul', 'ngeunah', 'seuri', 'membuktikan', 'kebodohan']"
sadness,"titi mangsa tina rumasa, kedal hate pangjajap rasa,, kedal ati nyu'uh ka gusti, sjud raga ka nu kwasa, dunya caang lir ibarat berang, rasa hariwang moal kasorang..waruga taya nu boga, tulang iga taya pangawasa, iwal ti gusti nu maha suci, simkuring seja sumerah diri","titi mangsa tina rumasa, kedal hate pangjajap rasa,, kedal ati nyu'uh ka gusti, sjud raga ka nu kwasa, dunya caang lir ibarat berang, rasa hariwang moal kasorang..waruga taya nu boga, tulang iga taya pangawasa, iwal ti gusti nu maha suci, simkuring seja sumerah diri","titi mangsa tina rumasa, kedal hate pangjajap rasa,, kedal ati nyu'uh ka gusti, sjud raga ka nu kwasa, dunya caang lir ibarat berang, rasa hariwang moal kasorang..waruga taya nu boga, tulang iga taya pangawasa, iwal ti gusti nu maha suci, simkuring seja sumerah diri",titi mangsa tina rumasa  kedal hate pangjajap rasa   kedal ati nyu uh ka gusti  sjud raga ka nu kwasa  dunya caang lir ibarat berang  rasa hariwang moal kasorang  waruga taya nu boga  tulang iga taya pangawasa  iwal ti gusti nu maha suci  simkuring seja sumerah diri,titi mangsa tina rumasa kedal hate pangjajap rasa kedal ati nyu uh ka gusti sjud raga ka nu kwasa dunya caang lir ibarat berang rasa hariwang moal kasorang waruga taya nu boga tulang iga taya pangawasa iwal ti gusti nu maha suci simkuring seja sumerah diri,titi mangsa tina rumasa kedal hate pangjajap rasa kedal ati nyu uh ka gusti sjud raga ka nu kwasa dunya caang lir ibarat berang rasa hariwang moal kasorang waruga taya nu boga tulang iga taya pangawasa iwal ti gusti nu maha suci simkuring seja sumerah diri,titi mangsa tina sagala rumasa kedal hate pangjajap rasa kedal ati-ati nyu uh ka gusti sjud ngolah raga ka nu boga kwasa dunya caang lir ibarat berang rasa hariwang moal kasorang waruga taya nu boga boga tulang iga taya pangawasa iwal ti gusti nu boga maha suci simkuring seja sumerah ka diri,titi mangsa tina sagala rumasa kedal hate pangjajap rasa kedal ati-ati nyu sjud ngolah raga boga kwasa dunya caang lir berang rasa hariwang moal kasorang waruga taya boga boga tulang iga taya pangawasa iwal boga maha suci simkuring seja sumerah,"['titi', 'mangsa', 'tina', 'sagala', 'rumasa', 'kedal', 'hate', 'pangjajap', 'rasa', 'kedal', 'ati-ati', 'nyu', 'sjud', 'ngolah', 'raga', 'boga', 'kwasa', 'dunya', 'caang', 'lir', 'berang', 'rasa', 'hariwang', 'moal', 'kasorang', 'waruga', 'taya', 'boga', 'boga', 'tulang', 'iga', 'taya', 'pangawasa', 'iwal', 'boga', 'maha', 'suci', 'simkuring', 'seja', 'sumerah']"
sadness,Gusti meni ripuh ie lambung,gusti meni ripuh ie lambung,gusti meni ripuh ie lambung,gusti meni ripuh ie lambung,gusti meni ripuh ie lambung,gusti meni ripuh ie lambung,gusti meni ripuh ie lambung,ie lambung,"['ie', 'lambung']"
anger,"hirup mah kudu natural terutama beunget sia tah ,ulah kandel teing ku bedak bisi iraha-iraha aya nu ngepret era meuren ngebul","hirup mah kudu natural terutama beunget sia tah ,ulah kandel teing ku bedak bisi iraha-iraha aya nu ngepret era meuren ngebul","hirup mah kudu natural terutama beunget sia tah ,ulah kandel teing ku bedak bisi iraha-iraha aya nu ngepret era meuren ngebul",hirup mah kudu natural terutama beunget sia tah  ulah kandel teing ku bedak bisi iraha iraha aya nu ngepret era meuren ngebul,hirup mah kudu natural terutama beunget sia tah ulah kandel teing ku bedak bisi iraha iraha aya nu ngepret era meuren ngebul,hirup mah kudu natural terutama beunget sia tah ulah kandel teing ku bedak bisi iraha iraha aya nu ngepret era meuren ngebul,hirup mah kudu natural terutama beunget sia tah ulah kandel teing ku bedak bisi iraha iraha aya nu boga ngepret era meuren ngebul,hirup kudu natural terutama beunget tah ulah kandel teing bedak bisi aya boga ngepret era meuren ngebul,"['hirup', 'kudu', 'natural', 'terutama', 'beunget', 'tah', 'ulah', 'kandel', 'teing', 'bedak', 'bisi', 'aya', 'boga', 'ngepret', 'era', 'meuren', 'ngebul']"
fear,"mitamit, aing jd muringkak bulu punuk anyeeng","mitamit, aing jd muringkak bulu punuk anyeeng","mitamit, aing jd muringkak bulu punuk anjing",mitamit  aing jd muringkak bulu punuk anjing,mitamit aing jd muringkak bulu punuk anjing,mitamit aing jd muringkak bulu punuk anjing,mitamit aing jd muringkak bulu punuk anjing,mitamit jd muringkak bulu punuk,"['mitamit', 'jd', 'muringkak', 'bulu', 'punuk']"
anger,Ih si aa na reu ngahargaan pisan kaum jomblo anu sesah milari bikang. Sia geus aya hiji nu brbeakan der kanu lain. Comblangin sama temen alesanna? Bullshit sagede bagong.,ih si aa na reu ngahargaan pisan kaum jomblo anu sesah milari bikang. sia geus aya hiji nu brbeakan der kanu lain. comblangin sama temen alesanna? bullshit sagede bagong.,ih si aa na reu ngaharga pisan kaum jomblo anu sesah milari bikang. sia geus aya hiji nu brbeakan der kanu lain. comblangin sama temen alesanna? harkos sagede bagong.,ih si aa na reu ngaharga pisan kaum jomblo anu sesah milari bikang  sia geus aya hiji nu brbeakan der kanu lain  comblangin sama temen alesanna  harkos sagede bagong ,ih si aa na reu ngaharga pisan kaum jomblo anu sesah milari bikang sia geus aya hiji nu brbeakan der kanu lain comblangin sama temen alesanna harkos sagede bagong ,ih si aa na reu ngaharga pisan kaum jomblo anu sesah milari bikang sia geus aya hiji nu brbeakan der kanu lain comblangin sama temen alesanna harkos sagede bagong ,ih si aa na reu ngaharga pisan kaum jomblo anu sesah milari bikang sia geus aya hiji nu boga brbeakan der kanu lain comblangin sama temen alesanna harkos sagede bagong,aa reu ngaharga kaum jomblo sesah milari bikang aya hiji boga brbeakan der kanu comblangin temen alesanna sagede bagong,"['aa', 'reu', 'ngaharga', 'kaum', 'jomblo', 'sesah', 'milari', 'bikang', 'aya', 'hiji', 'boga', 'brbeakan', 'der', 'kanu', 'comblangin', 'temen', 'alesanna', 'sagede', 'bagong']"
joy,"Sok, meni atoh ningali pemuda nu kitu teh","sok, meni atoh ningali pemuda nu kitu teh","sok, meni atoh ningali pemuda nu kitu teh",sok  meni atoh ningali pemuda nu kitu teh,sok meni atoh ningali pemuda nu kitu teh,sok meni atoh ningali pemuda nu kitu teh,sok meni atoh ningali pemuda nu boga kitu teh,atoh ningali pemuda boga,"['atoh', 'ningali', 'pemuda', 'boga']"
sadness,Deudeuh teuing jang ni eleh ku uwa ....uwa mah 4 jam ge sanggem knh :(,deudeuh teuing jang ni eleh ku uwa ....uwa mah 4 jam ge sanggem knh :(,deudeuh teuing jang ni eleh ku uwa ....uwa mah 4 jam ge sanggem knh :(,deudeuh teuing jang ni eleh ku uwa     uwa mah   jam ge sanggem knh   ,deudeuh teuing jang ni eleh ku uwa uwa mah jam ge sanggem knh ,deudeuh teuing jang ni eleh ku uwa uwa mah jam ge sanggem knh ,deudeuh teuing jang ni eleh ku uwa uwa mah jam ge sanggem knh,deudeuh jang eleh uwa uwa jam knh,"['deudeuh', 'jang', 'eleh', 'uwa', 'uwa', 'jam', 'knh']"
fear,SEREM ANYINK MALEM2 KIEU,serem anyink malem2 kieu,serem anyink malem2 kieu,serem anyink malem  kieu,serem anyink malem kieu,serem anyink malem kieu,serem anyink malem kieu,serem anyink malem,"['serem', 'anyink', 'malem']"
anger,"ya gusti abdi kudu kumaha euy ieu kumaha teu tiasa abdi euy atuh tulungan. pls lah anying kunaon bisa kieu atuhhhh keheeed, hese tatadi ieu teeh coeg aing hese pisan","ya gusti abdi kudu kumaha euy ieu kumaha teu tiasa abdi euy atuh tulungan. pls lah anying kunaon bisa kieu atuhhhh keheeed, hese tatadi ieu teeh coeg aing hese pisan","ya gusti abdi kudu kumaha euy ieu kumaha teu tiasa abdi euy atuh tulungan. pls lah anjing kunaon bisa kieu atuh kehed, hese tatadi ieu the coeg aing hese pisan",ya gusti abdi kudu kumaha euy ieu kumaha teu tiasa abdi euy atuh tulungan  pls lah anjing kunaon bisa kieu atuh kehed  hese tatadi ieu the coeg aing hese pisan,ya gusti abdi kudu kumaha euy ieu kumaha teu tiasa abdi euy atuh tulungan pls lah anjing kunaon bisa kieu atuh kehed hese tatadi ieu the coeg aing hese pisan,ya gusti abdi kudu kumaha euy ieu kumaha teu tiasa abdi euy atuh tulungan pls lah anjing kunaon bisa kieu atuh kehed hese tatadi ieu the coeg aing hese pisan,ya gusti abdi kudu kumaha euy ieu kumaha teu tiasa abdi euy atuh tulungan pls lah anjing kunaon bisa kieu atuh kehed hese tatadi ieu eta the coeg aing hese pisan,abdi kudu teu tiasa abdi tulungan pls hese tatadi the coeg hese,"['abdi', 'kudu', 'teu', 'tiasa', 'abdi', 'tulungan', 'pls', 'hese', 'tatadi', 'the', 'coeg', 'hese']"
joy,hatur nuhun kanggo kapercayaan.. Bingah ningali na teh melly ngumpul ngariung dibarisan akal sehat..,hatur nuhun kanggo kapercayaan.. bingah ningali na teh melly ngumpul ngariung dibarisan akal sehat..,hatur nuhun kanggo kapercayan.. bingah ningali na teh mely ngumpul ngariung dibarisan akal sehat..,hatur nuhun kanggo kapercayan   bingah ningali na teh mely ngumpul ngariung dibarisan akal sehat  ,hatur nuhun kanggo kapercayan bingah ningali na teh mely ngumpul ngariung dibarisan akal sehat ,hatur nuhun kanggo kapercayan bingah ningali na teh mely ngumpul ngariung dibarisan akal sehat ,hatur nuhun hatur nuhun kanggo kapercayan bingah ningali na teh mely ngumpul ngariung dibarisan akal sehat,hatur nuhun hatur nuhun kapercayan bingah ningali ngumpul ngariung dibarisan akal sehat,"['hatur', 'nuhun', 'hatur', 'nuhun', 'kapercayan', 'bingah', 'ningali', 'ngumpul', 'ngariung', 'dibarisan', 'akal', 'sehat']"
anger,Bagong Corona nyusahken pisan si anjing,bagong corona nyusahken pisan si anjing,bagong corona nyusahken pisan si anjing,bagong corona nyusahken pisan si anjing,bagong corona nyusahken pisan si anjing,bagong corona nyusahken pisan si anjing,bagong corona nyusahken pisan si anjing,bagong corona nyusahken,"['bagong', 'corona', 'nyusahken']"
joy,"Ti kapungkur abdi resep acara iye, like na mana orang sunda","ti kapungkur abdi resep acara iye, like na mana orang sunda","ti kapungkur abdi resep acara iye, like na mana orang sunda",ti kapungkur abdi resep acara iye  like na mana orang sunda,ti kapungkur abdi resep acara iye like na mana orang sunda,ti kapungkur abdi resep acara iye like na mana orang sunda,ti kapungkur abdi resep acara iye like na mana orang sunda,kapungkur abdi resep acara iye like sunda,"['kapungkur', 'abdi', 'resep', 'acara', 'iye', 'like', 'sunda']"
sadness,Anjing sedih pisan tablo aing tewas,anjing sedih pisan tablo aing tewas,anjing sedih pisan tablo aing tewas,anjing sedih pisan tablo aing tewas,anjing sedih pisan tablo aing tewas,anjing sedih pisan tablo aing tewas,anjing sedih pisan tablo aing tewas,tablo tewas,"['tablo', 'tewas']"
fear,"Gustii, matak ngajerit diri, lembur teh asa keueung Tadi sore 17.23 sebelum hujan mengguyur lebat #savesmd","gustii, matak ngajerit diri, lembur teh asa keueung tadi sore 17.23 sebelum hujan mengguyur lebat #savesmd","gusti, matak ngajerit diri, lembur teh asa keueung tadi sore 17.23 sebelum hujan menguyur lebat #savesmd",gusti  matak ngajerit diri  lembur teh asa keueung tadi sore       sebelum hujan menguyur lebat  savesmd,gusti matak ngajerit diri lembur teh asa keueung tadi sore sebelum hujan menguyur lebat savesmd,gusti matak ngajerit diri lembur teh asa keueung tadi sore sebelum hujan menguyur lebat savesmd,gusti matak ngajerit ka diri lembur teh asa keueung tadi sore sebelum hujan menguyur lebat savesmd,ngajerit lembur keueung sore hujan lebat savesmd,"['ngajerit', 'lembur', 'keueung', 'sore', 'hujan', 'lebat', 'savesmd']"
fear,Naha hujanna kudu serem kieu coba. Diriku lagi sendirian tau,naha hujanna kudu serem kieu coba. diriku lagi sendirian tau,naha hujana kudu serem kieu coba. diriku lagi sendirian tau,naha hujana kudu serem kieu coba  diriku lagi sendirian tau,naha hujana kudu serem kieu coba diriku lagi sendirian tau,naha hujana kudu serem kieu coba diriku lagi sendirian tau,naha hujana kudu serem kieu coba diriku lagi sendirian tau,hujana kudu serem coba diriku sendirian tau,"['hujana', 'kudu', 'serem', 'coba', 'diriku', 'sendirian', 'tau']"
sadness,Duh gusti hujan ku hujan na ath saat knh wae sumur teh ni sangsara ku cai...,duh gusti hujan ku hujan na ath saat knh wae sumur teh ni sangsara ku cai...,duh gusti hujan ku hujan na ath saat knh wae sumur teh ni sangsara ku cai...,duh gusti hujan ku hujan na ath saat knh wae sumur teh ni sangsara ku cai   ,duh gusti hujan ku hujan na ath saat knh wae sumur teh ni sangsara ku cai ,duh gusti hujan ku hujan na ath saat knh wae sumur teh ni sangsara ku cai ,duh gusti hujan ku hujan na ath saat knh wae sumur teh ni sangsara ku cai,hujan hujan ath knh sumur sangsara cai,"['hujan', 'hujan', 'ath', 'knh', 'sumur', 'sangsara', 'cai']"
joy,"Gue sebenarnya gak mau berkomentar pada kalian berdua, karena tabu. Tapi aing teu bisa nahan, hayang seuri ngabarakatak bahahhahahahaha...","gue sebenarnya gak mau berkomentar pada kalian berdua, karena tabu. tapi aing teu bisa nahan, hayang seuri ngabarakatak bahahhahahahaha...","gue sebenarnya gak mau berkomentar pada kalian berdua, karena tabu. tapi aing teu bisa nahan, hayang seuri ngabarakatak hahaha...",gue sebenarnya gak mau berkomentar pada kalian berdua  karena tabu  tapi aing teu bisa nahan  hayang seuri ngabarakatak hahaha   ,gue sebenarnya gak mau berkomentar pada kalian berdua karena tabu tapi aing teu bisa nahan hayang seuri ngabarakatak hahaha ,gue sebenarnya gak mau berkomentar pada kalian berdua karena tabu tapi aing teu bisa nahan hayang seuri ngabarakatak hahaha ,gue sebenarnya gak mau berkomentar pada kalian berdua karena tabu tapi aing teu bisa nahan hayang seuri ngabarakatak hahaha,gue gak berkomentar berdua tabu teu nahan hayang seuri ngabarakatak,"['gue', 'gak', 'berkomentar', 'berdua', 'tabu', 'teu', 'nahan', 'hayang', 'seuri', 'ngabarakatak']"
fear,"Udah 1285 aja yang positif, urusan aing di hari hari kedepan gimana meni sarieun gini","udah 1285 aja yang positif, urusan aing di hari hari kedepan gimana meni sarieun gini","udah 1285 aja yang positif, urusan aing di hari hari kedepan gimana meni sarieun gini",udah      aja yang positif  urusan aing di hari hari kedepan gimana meni sarieun gini,udah aja yang positif urusan aing di hari hari kedepan gimana meni sarieun gini,udah aja yang positif urusan aing di hari hari kedepan gimana meni sarieun gini,udah aja yang positif urusan aing di hari hari kedepan gimana meni sarieun gini,udah positif urusan hari hari kedepan gimana sarieun gini,"['udah', 'positif', 'urusan', 'hari', 'hari', 'kedepan', 'gimana', 'sarieun', 'gini']"
anger,si uyunk gblog!!!!!!!!taii!!!!!!!najis ajeg!!!!moaL nga band deui jeung si ETA anjing pisan si ETA!!!!!!!!gagal TOTAL!!!!! IJID aing,si uyunk gblog!!!!!!!!taii!!!!!!!najis ajeg!!!!moal nga band deui jeung si eta anjing pisan si eta!!!!!!!!gagal total!!!!! ijid aing,si uyunk gblog!!!!!!!!tai!!!!!!!najis ajeg!!!!moal nga band deui jeung si eta anjing pisan si eta!!!!!!!!gagal total!!!!! ijid aing,si uyunk gblog        tai       najis ajeg    moal nga band deui jeung si eta anjing pisan si eta        gagal total      ijid aing,si uyunk gblog tai najis ajeg moal nga band deui jeung si eta anjing pisan si eta gagal total ijid aing,si uyunk gblog tai najis ajeg moal nga band deui jeung si eta anjing pisan si eta gagal total ijid aing,si uyunk gblog tai najis ajeg moal nga band deui jeung si eta anjing pisan si eta gagal total ijid aing,uyunk gblog ajeg moal nga band gagal total ijid,"['uyunk', 'gblog', 'ajeg', 'moal', 'nga', 'band', 'gagal', 'total', 'ijid']"
anger,Modar siah brazil modar anjing setan goblog siah modar babi!!!!!,modar siah brazil modar anjing setan goblog siah modar babi!!!!!,modar siah brazil modar anjing setan goblog siah modar babi!!!!!,modar siah brazil modar anjing setan goblog siah modar babi     ,modar siah brazil modar anjing setan goblog siah modar babi ,modar siah brazil modar anjing setan goblog siah modar babi ,maot/modar siah brazil maot/modar anjing setan goblog siah maot/modar babi,maot/modar siah brazil maot/modar siah maot/modar babi,"['maot/modar', 'siah', 'brazil', 'maot/modar', 'siah', 'maot/modar', 'babi']"
fear,Bade kamana atuh aang teh meuni sok luluasan... keung...,bade kamana atuh aang teh meuni sok luluasan... keung...,bade kamana atuh aang teh meuni sok luluasan... keung...,bade kamana atuh aang teh meuni sok luluasan    keung   ,bade kamana atuh aang teh meuni sok luluasan keung ,bade kamana atuh aang teh meuni sok luluasan keung ,bade kamana atuh aang teh meuni sok luluasan keung,bade kamana meuni luluasan keung,"['bade', 'kamana', 'meuni', 'luluasan', 'keung']"
